v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median,x,y,community
10000,Oc. Militares,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,,,,
10001,Of. FF.AA.,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,,,,
10002,Suboficiales FF.AA.,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,,,,
10003,Miemb. FF.AA n/c,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,,,,
10011,Of. FF.AA.,0. Oc. militares,1. Trabajadores  no manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#cccccc,0.0,,,,,,,,,,,,,,,
10021,Suboficiales FF.AA.,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,,,,
10031,Miemb. FF.AA n/c,0. Oc. militares,3. Trabajadores manuales,"(0.001462, 0.000466, 0.013866, 1.0)",#333333,#17becf,0.0,,,,,,,,,,,,,,,
10110,Of. FF.AA.,0. Oc. militares,1. Trabajadores  no manuales,"(0.003299, 0.002249, 0.024239, 1.0)",#333333,#cccccc,9298.66,9298.66,9.28,0.1,9.21,34.9,65.1,100.0,8.58,1.09,30.56,15.26,27.0,-296.43341064453125,-239.3431396484375,C10
10210,Suboficiales FF.AA.,0. Oc. militares,3. Trabajadores manuales,"(0.007676, 0.006136, 0.046836, 1.0)",#333333,#17becf,13677.0,13677.0,9.2,0.51,9.11,10.93,89.07,100.0,5.33,1.37,56.96,19.0,51.5,-298.10467529296875,-278.3465576171875,C10
10310,Miemb. FF.AA n/c,0. Oc. militares,3. Trabajadores manuales,"(0.013995, 0.011225, 0.071862, 1.0)",#333333,#17becf,77035.68,77035.68,8.98,0.43,8.99,2.96,97.04,90.74,5.67,1.26,46.56,16.03,35.0,-232.1993103027344,-488.4012145996094,C10
11000,Dir. Y Ger.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.09299, 0.045583, 0.234358, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11100,Dir. Admin. Pública,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11110,Miemb. Poder judicial,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
